transaction_id,settlement_id,merchant_id,amount,currency,settlement_status,settlement_timestamp,bank_reference,failure_code,failure_reason
TXN100036,STL100036,MRC001,3000,INR,PENDING,2026-09-04T09:46:00,BANK86569,,BANK_PROCESSING_DELAY
TXN100038,STL100038,MRC005,1000,INR,PENDING,2026-09-04T09:52:00,BANK87992,,BANK_PROCESSING_DELAY
TXN100039,STL100039,MRC002,4500,INR,SETTLED,2026-09-04T09:55:00,BANK42271,,
TXN100040,STL100040,MRC005,500,INR,SETTLED,2026-09-04T09:58:00,BANK64948,,
TXN100041,STL100041,MRC005,15000,INR,SETTLED,2026-09-04T10:01:00,BANK44179,,
TXN100042,STL100042,MRC003,2000,INR,SETTLED,2026-09-04T10:04:00,BANK27154,,
TXN100043,STL100043,MRC003,7500,INR,SETTLED,2026-09-04T10:07:00,BANK11220,,
TXN100044,STL100044,MRC005,15000,INR,PENDING,2026-09-04T10:10:00,BANK80468,,BANK_PROCESSING_DELAY
TXN100045,STL100045,MRC005,2500,INR,SETTLED,2026-09-04T10:13:00,BANK19016,,
TXN100046,STL100046,MRC003,2500,INR,NOT_INITIATED,2026-09-04T10:16:00,BANK81200,,
TXN100047,STL100047,MRC003,15000,INR,REJECTED,2026-09-04T10:19:00,BANK97538,INVALID_BANK_ACCOUNT,INVALID_BANK_ACCOUNT
TXN100048,STL100048,MRC003,25000,INR,REJECTED,2026-09-04T10:22:00,BANK44664,BANK_TIMEOUT,BANK_TIMEOUT
TXN100049,STL100049,MRC001,10000,INR,SETTLED,2026-09-04T10:25:00,BANK46930,,
TXN100050,STL100050,MRC002,3000,INR,SETTLED,2026-09-04T10:28:00,BANK44600,,
TXN100052,STL100052,MRC004,2500,INR,PENDING,2026-09-04T10:34:00,BANK53719,,BANK_PROCESSING_DELAY
TXN100053,STL100053,MRC003,1500,INR,SETTLED,2026-09-04T10:37:00,BANK66057,,
TXN100054,STL100054,MRC001,1000,INR,PENDING,2026-09-04T10:40:00,BANK81511,,BANK_PROCESSING_DELAY
TXN100055,STL100055,MRC003,15000,INR,SETTLED,2026-09-04T10:43:00,BANK66333,,
TXN100056,STL100056,MRC001,2500,INR,SETTLED,2026-09-04T10:46:00,BANK56898,,
TXN100057,STL100057,MRC002,25000,INR,FAILED,2026-09-04T10:49:00,BANK83385,SETTLEMENT_WINDOW_MISSED,SETTLEMENT_WINDOW_MISSED
TXN100058,STL100058,MRC005,1500,INR,NOT_INITIATED,2026-09-04T10:52:00,BANK33206,,
TXN100059,STL100059,MRC004,500,INR,SETTLED,2026-09-04T10:55:00,BANK63964,,
TXN100060,STL100060,MRC002,2500,INR,REJECTED,2026-09-04T10:58:00,BANK60140,BANK_SERVER_UNAVAILABLE,BANK_SERVER_UNAVAILABLE
TXN100061,STL100061,MRC004,2000,INR,SETTLED,2026-09-04T11:01:00,BANK55830,,
TXN100062,STL100062,MRC002,2000,INR,SETTLED,2026-09-04T11:04:00,BANK35313,,
TXN100063,STL100063,MRC003,2500,INR,SETTLED,2026-09-04T11:07:00,BANK56025,,
TXN100064,STL100064,MRC005,5000,INR,NOT_INITIATED,2026-09-04T11:10:00,BANK13617,,
TXN100066,STL100066,MRC001,1000,INR,SETTLED,2026-09-04T11:16:00,BANK55309,,
TXN100068,STL100068,MRC005,2000,INR,PENDING,2026-09-04T11:22:00,BANK67154,,BANK_PROCESSING_DELAY
TXN100069,STL100069,MRC005,10000,INR,PENDING,2026-09-04T11:25:00,BANK66531,,BANK_PROCESSING_DELAY
TXN100070,STL100070,MRC001,25000,INR,SETTLED,2026-09-04T11:28:00,BANK51145,,
TXN100071,STL100071,MRC001,2500,INR,SETTLED,2026-09-04T11:31:00,BANK97410,,
TXN100073,STL100073,MRC002,2000,INR,FAILED,2026-09-04T11:37:00,BANK59695,BANK_SERVER_UNAVAILABLE,BANK_SERVER_UNAVAILABLE
TXN100074,STL100074,MRC002,15000,INR,PENDING,2026-09-04T11:40:00,BANK63225,,BANK_PROCESSING_DELAY
TXN100075,STL100075,MRC005,500,INR,PENDING,2026-09-04T11:43:00,BANK37549,,BANK_PROCESSING_DELAY
TXN100076,STL100076,MRC005,15000,INR,PENDING,2026-09-04T11:46:00,BANK67905,,BANK_PROCESSING_DELAY
TXN100077,STL100077,MRC004,25000,INR,SETTLED,2026-09-04T11:49:00,BANK72021,,
TXN100078,STL100078,MRC001,2500,INR,NOT_INITIATED,2026-09-04T11:52:00,BANK92960,,
TXN100079,STL100079,MRC005,2500,INR,SETTLED,2026-09-04T11:55:00,BANK98184,,
TXN100080,STL100080,MRC002,2000,INR,SETTLED,2026-09-04T11:58:00,BANK16057,,
TXN100081,STL100081,MRC002,7500,INR,NOT_INITIATED,2026-09-04T12:01:00,BANK69692,,
TXN100082,STL100082,MRC004,25000,INR,SETTLED,2026-09-04T12:04:00,BANK60328,,
TXN100083,STL100083,MRC004,2000,INR,SETTLED,2026-09-04T12:07:00,BANK10726,,
TXN100084,STL100084,MRC004,2000,INR,SETTLED,2026-09-04T12:10:00,BANK70889,,
TXN100086,STL100086,MRC002,7500,INR,SETTLED,2026-09-04T12:16:00,BANK88047,,
TXN100087,STL100087,MRC004,15000,INR,PENDING,2026-09-04T12:19:00,BANK81810,,BANK_PROCESSING_DELAY
TXN100088,STL100088,MRC002,7500,INR,SETTLED,2026-09-04T12:22:00,BANK42406,,
TXN100089,STL100089,MRC003,10000,INR,SETTLED,2026-09-04T12:25:00,BANK41358,,
TXN100090,STL100090,MRC004,1000,INR,NOT_INITIATED,2026-09-04T12:28:00,BANK45614,,
TXN100091,STL100091,MRC003,3000,INR,SETTLED,2026-09-04T12:31:00,BANK28136,,
TXN100092,STL100092,MRC002,5000,INR,SETTLED,2026-09-04T12:34:00,BANK18418,,
TXN100093,STL100093,MRC004,3000,INR,SETTLED,2026-09-04T12:37:00,BANK64496,,
TXN100094,STL100094,MRC002,5000,INR,SETTLED,2026-09-04T12:40:00,BANK12560,,
TXN100095,STL100095,MRC004,7500,INR,SETTLED,2026-09-04T12:43:00,BANK49139,,
TXN100096,STL100096,MRC004,10000,INR,SETTLED,2026-09-04T12:46:00,BANK38906,,
TXN100098,STL100098,MRC001,5000,INR,SETTLED,2026-09-04T12:52:00,BANK99016,,
TXN100099,STL100099,MRC002,7500,INR,SETTLED,2026-09-04T12:55:00,BANK80008,,
