transaction_id,ledger_entry_id,merchant_id,amount,currency,ledger_status,debit,credit,ledger_timestamp,posting_reference
TXN100041,LED100041,MRC005,15000,INR,POSTED,15000,0,2026-09-04T10:01:00,POST36772
TXN100042,LED100042,MRC003,2000,INR,POSTED,2000,0,2026-09-04T10:04:00,POST98039
TXN100043,LED100043,MRC003,7500,INR,POSTED,7500,0,2026-09-04T10:07:00,POST70068
TXN100044,LED100044,MRC005,15000,INR,POSTED,15000,0,2026-09-04T10:10:00,POST37938
TXN100045,LED100045,MRC005,2500,INR,POSTED,2500,0,2026-09-04T10:13:00,POST42018
TXN100047,LED100047,MRC003,15000,INR,POSTED,15000,0,2026-09-04T10:19:00,POST82692
TXN100048,LED100048,MRC003,25000,INR,POSTED,25000,0,2026-09-04T10:22:00,POST25129
TXN100049,LED100049,MRC001,10000,INR,POSTED,10000,0,2026-09-04T10:25:00,POST89276
TXN100050,LED100050,MRC002,3000,INR,POSTED,3000,0,2026-09-04T10:28:00,POST76244
TXN100052,LED100052,MRC004,2500,INR,POSTED,2500,0,2026-09-04T10:34:00,POST27146
TXN100053,LED100053,MRC003,1500,INR,POSTED,1500,0,2026-09-04T10:37:00,POST83519
TXN100054,LED100054,MRC001,1000,INR,POSTED,1000,0,2026-09-04T10:40:00,POST14722
TXN100055,LED100055,MRC003,15000,INR,POSTED,15000,0,2026-09-04T10:43:00,POST26704
TXN100056,LED100056,MRC001,2500,INR,POSTED,2500,0,2026-09-04T10:46:00,POST37535
TXN100057,LED100057,MRC002,25000,INR,POSTED,25000,0,2026-09-04T10:49:00,POST63264
TXN100059,LED100059,MRC004,500,INR,POSTED,500,0,2026-09-04T10:55:00,POST97806
TXN100060,LED100060,MRC002,2500,INR,POSTED,2500,0,2026-09-04T10:58:00,POST15075
TXN100061,LED100061,MRC004,2000,INR,POSTED,2000,0,2026-09-04T11:01:00,POST50001
TXN100062,LED100062,MRC002,2000,INR,POSTED,2000,0,2026-09-04T11:04:00,POST62227
TXN100063,LED100063,MRC003,2500,INR,POSTED,2500,0,2026-09-04T11:07:00,POST94080
TXN100065,LED100065,MRC001,2500,INR,POSTED,2500,0,2026-09-04T11:13:00,POST44795
TXN100066,LED100066,MRC001,1000,INR,POSTED,1000,0,2026-09-04T11:16:00,POST51114
TXN100067,LED100067,MRC004,15000,INR,POSTED,15000,0,2026-09-04T11:19:00,POST60488
TXN100068,LED100068,MRC005,2000,INR,POSTED,2000,0,2026-09-04T11:22:00,POST10221
TXN100070,LED100070,MRC001,25000,INR,POSTED,25000,0,2026-09-04T11:28:00,POST96951
TXN100071,LED100071,MRC001,2500,INR,POSTED,2500,0,2026-09-04T11:31:00,POST63528
TXN100073,LED100073,MRC002,2000,INR,POSTED,2000,0,2026-09-04T11:37:00,POST98777
TXN100075,LED100075,MRC005,500,INR,POSTED,500,0,2026-09-04T11:43:00,POST66346
TXN100077,LED100077,MRC004,25000,INR,POSTED,25000,0,2026-09-04T11:49:00,POST32241
TXN100079,LED100079,MRC005,3000,INR,POSTED,3000,0,2026-09-04T11:55:00,POST50687
TXN100082,LED100082,MRC004,25000,INR,POSTED,25000,0,2026-09-04T12:04:00,POST74799
TXN100083,LED100083,MRC004,2000,INR,POSTED,2000,0,2026-09-04T12:07:00,POST23970
TXN100084,LED100084,MRC004,1500,INR,POSTED,1500,0,2026-09-04T12:10:00,POST16582
TXN100086,LED100086,MRC002,7500,INR,POSTED,7500,0,2026-09-04T12:16:00,POST51588
TXN100087,LED100087,MRC004,15000,INR,POSTED,15000,0,2026-09-04T12:19:00,POST68446
TXN100089,LED100089,MRC003,10000,INR,POSTED,10000,0,2026-09-04T12:25:00,POST45992
TXN100091,LED100091,MRC003,2500,INR,POSTED,2500,0,2026-09-04T12:31:00,POST29769
TXN100092,LED100092,MRC002,5000,INR,POSTED,5000,0,2026-09-04T12:34:00,POST64377
TXN100093,LED100093,MRC004,3000,INR,POSTED,3000,0,2026-09-04T12:37:00,POST18161
TXN100094,LED100094,MRC002,5000,INR,POSTED,5000,0,2026-09-04T12:40:00,POST85456
TXN100095,LED100095,MRC004,7500,INR,POSTED,7500,0,2026-09-04T12:43:00,POST61116
TXN100096,LED100096,MRC004,10000,INR,POSTED,10000,0,2026-09-04T12:46:00,POST73993
TXN100098,LED100098,MRC001,5000,INR,POSTED,5000,0,2026-09-04T12:52:00,POST62994
TXN100099,LED100099,MRC002,7500,INR,POSTED,7500,0,2026-09-04T12:55:00,POST13534
TXN100100,LED100100,MRC004,15000,INR,POSTED,15000,0,2026-09-04T12:58:00,POST13552
